key	value
#_kv_rules_tables;0;db/_kv_rules_tables/_kv_rules	
armour_melee_penetrating_divisor	4.0000
armour_melee_piercing_divisor	2.0000
armour_missile_penetrating_divisor	4.0000
armour_missile_piercing_divisor	2.0000
artillery_projectile_calibration_target_area	25.0000
attackpower_extreme_range_multplier	0.3000
attackpower_long_range_multiplier	0.6500
bayonet_melee_attack_bonus	3.0000
bayonet_ring_reload_time_penalty	5.0000
broadsides_damage_modifier	1.2500
defense_melee_penetrating_divisor	4.0000
defense_melee_piercing_divisor	2.0000
defense_missile_penetrating_divisor	4.0000
defense_missile_piercing_divisor	2.0000
factor_attackdir_flankleft	8.0000
factor_attackdir_flankright	8.0000
factor_attackdir_front	0.0000
factor_attackdir_rear	15.0000
fire_and_advance_reload_modifier	15.0000
fire_on_walls_accuracy_modifier	10.0000
fire_on_walls_range_modifier	10.0000
fire_on_walls_reload_modifier	10.0000
firing_drill_improved_platoon_fire_reload_modifier	75.0000
firing_drill_mass_fire_reload_modifier	45.0000
firing_drill_platoon_fire_reload_modifier	74.0000
firing_drill_rank_fire_reload_modifier	20.0000
hnbonus_bayonet	10.0000
hnbonus_melee_cavalry_v_infantry	0.0000
hnbonus_melee_cavalry_v_squareinfantry	-25.0000
land_mortar_projectile_calibration_target_area	350.0000
magazine_explosion_interrupt_chance	15.0000
melee_charge_factor_power_divisor	2.0000
melee_entrenchement_level_multiplier	3.0000
melee_height_delta_max	1.5000
melee_height_delta_min	-1.5000
melee_hn_to_xholds_0_max	-6.0000
melee_hn_to_xholds_1_max	0.0000
melee_hn_to_xholds_2_max	6.0000
melee_hn_to_xholds_3_max	12.0000
melee_xholds_knockback_0	70.0000
melee_xholds_knockback_1	90.0000
melee_xholds_knockback_2	110.0000
melee_xholds_knockback_3	150.0000
melee_xholds_knockback_4	200.0000
melee_xholds_knockdown_0	30.0000
melee_xholds_knockdown_1	50.0000
melee_xholds_knockdown_2	60.0000
melee_xholds_knockdown_3	80.0000
melee_xholds_knockdown_4	100.0000
melee_xholds_stepback_0	70.0000
melee_xholds_stepback_1	90.0000
melee_xholds_stepback_2	130.0000
melee_xholds_stepback_3	185.0000
melee_xholds_stepback_4	270.0000
misfire_cannon_flintlock	0.0100
misfire_cannon_matchlock	0.0200
misfire_musket_flintlock	0.0000
misfire_musket_matchlock	0.0000
misfire_musket_percussion_cap	0.0600
missile_cover_factor_excellent	16.0000
missile_cover_factor_good	12.0000
missile_cover_factor_none	0.0000
missile_cover_factor_slight	3.0000
missile_cover_factor_some	8.0000
missile_distance_for_half_chance_hit	70.0000
missile_distance_for_half_chance_hit_artillery	100.0000
missile_distance_for_half_chance_hit_naval	150.0000
missile_hn_to_xholds_0_max	-6.0000
missile_hn_to_xholds_1_max	0.0000
missile_hn_to_xholds_2_max	6.0000
missile_hn_to_xholds_3_max	12.0000
missile_xholds_knockdown_0	35.0000
missile_xholds_knockdown_1	40.0000
missile_xholds_knockdown_2	47.0000
missile_xholds_knockdown_3	55.0000
missile_xholds_knockdown_4	65.0000
naval_projectile_calibration_target_area	25.0000
projectile_calibration_target_area	1.0000
projectile_damage_armour_divisor	1.0000
projectile_damage_defense_divisor	2.0000
projectile_damage_distance_multiplier	20.0000
projectile_damage_shield_divisor	1.0000
projectile_incendiary_chance_high	0.0030
projectile_incendiary_chance_low	0.0010
projectile_incendiary_chance_medium	0.0000
relative_melee_experience_multiplier	2.0000
relative_melee_fatigue_multiplier	3.0000
relative_melee_height_delta_divisor	0.0400
ship_bonus_close_mod	1.0000
ship_bonus_range	20.0000
ship_penalty_far_mod	0.8500
ship_penalty_range	70.0000
