building	effect	value
#building_effects_junction_tables;0;db/building_effects_junction_tables/building_effects_junction		
admiralty	prestige_message	1.0000
army_barracks	recruitment_points	1.0000
army_board	recruitment_points	3.0000
army_encampment	recruitment_points	1.0000
army_staff_college	prestige_message	1.0000
army_staff_college	recruitment_points	4.0000
basic_roads	enable_cadenced_marching	1.0000
basic_roads	tw_growth_roads	3.0000
bawdy_house	agent_spawn_rate_assassin	4.0000
bawdy_house	agent_spawn_rate_rake	4.0000
bawdy_house	happy_culture_lower	3.0000
bawdy_house	happy_culture_middle	3.0000
ceramics_factory	gdp_industry	900.0000
ceramics_factory	happy_industrialisation_lower	-2.0000
ceramics_factory	prestige_message	1.0000
ceramics_factory	tw_growth_industry	12.0000
coaching_inn	agent_spawn_rate_assassin	2.0000
coaching_inn	agent_spawn_rate_rake	2.0000
coaching_inn	happy_culture_lower	2.0000
coaching_inn	happy_culture_middle	2.0000
coffee_warehouse	commodity_prod_coffee	40.0000
coffee_warehouse	prestige_message	1.0000
college	agent_research_slots	1.0000
college	agent_spawn_rate_eastern_scholar	6.0000
college	agent_spawn_rate_gentleman	6.0000
college	happy_clamour_for_reform_all_classes	-5.0000
college	research_points	13.0000
commercial_basin	export_capacity_port	180.0000
commercial_basin	gdp_port	400.0000
commercial_basin	naval_recruitment_points	1.0000
commercial_basin	trade_routes_mod_max_sea	4.0000
commercial_basin	tw_growth_port	5.0000
commercial_port	export_capacity_port	60.0000
commercial_port	gdp_port	300.0000
commercial_port	naval_recruitment_points	1.0000
commercial_port	trade_routes_mod_max_sea	3.0000
commercial_port	tw_growth_port	3.0000
conservatorium	happy_culture_lower	1.0000
conservatorium	happy_culture_middle	1.0000
conservatorium	happy_culture_upper	1.0000
conservatorium	tw_growth_education	1.0000
corn_clearances	gdp_farm	200.0000
corn_clearances	happy_industrialisation_lower	-1.0000
corn_clearances	pop_growth_farm	0.4000
corn_clearances	pop_maxpop_modifier	20.0000
corn_clearances	resource_prod_corn	1.0000
corn_great_estates	gdp_farm	250.0000
corn_great_estates	pop_growth_farm	0.5000
corn_great_estates	pop_maxpop_modifier	30.0000
corn_great_estates	resource_prod_corn	1.0000
corn_great_royal_palace	gdp_farm	300.0000
corn_great_royal_palace	happy_culture_upper	1.0000
corn_great_royal_palace	pop_growth_farm	0.5000
corn_great_royal_palace	pop_maxpop_modifier	30.0000
corn_great_royal_palace	prestige_message	1.0000
corn_great_royal_palace	resource_prod_corn	1.0000
corn_peasant_farms	gdp_farm	100.0000
corn_peasant_farms	pop_growth_farm	0.2000
corn_peasant_farms	pop_maxpop_modifier	5.0000
corn_peasant_farms	resource_prod_corn	1.0000
corn_tenanted_farms	gdp_farm	150.0000
corn_tenanted_farms	pop_growth_farm	0.3000
corn_tenanted_farms	pop_maxpop_modifier	10.0000
corn_tenanted_farms	resource_prod_corn	1.0000
cotton_warehouse	commodity_prod_cotton	40.0000
cotton_warehouse	prestige_message	1.0000
craft_workshops_metal	gdp_industry	400.0000
craft_workshops_metal	tw_growth_industry	6.0000
craft_workshops_pottery	gdp_industry	300.0000
craft_workshops_pottery	tw_growth_industry	6.0000
craft_workshops_textiles	gdp_industry	300.0000
craft_workshops_textiles	tw_growth_industry	7.0000
deep_gem_shaft	gdp_mine	1000.0000
deep_gem_shaft	happy_industrialisation_lower	-1.0000
deep_gem_shaft	resource_prod_gems	1.0000
dockyard	happy_industrialisation_lower	-1.0000
dockyard	naval_recruitment_points	2.0000
drill_school	recruitment_points	2.0000
drydock	happy_industrialisation_lower	-1.0000
drydock	naval_recruitment_points	3.0000
engineer_school	prestige_message	1.0000
enlightened_university	agent_research_slots	3.0000
enlightened_university	agent_spawn_rate_eastern_scholar	12.0000
enlightened_university	agent_spawn_rate_gentleman	12.0000
enlightened_university	happy_clamour_for_reform_all_classes	-8.0000
enlightened_university	prestige_message	1.0000
enlightened_university	research_points	24.0000
fishing_fleet	gdp_port	300.0000
fishing_fleet	naval_recruitment_points	1.0000
fishing_fleet	pop_growth_port_fishing	0.5000
fur_exchange	commodity_prod_furs	40.0000
fur_market	commodity_prod_furs	25.0000
fur_merchant	commodity_prod_furs	15.0000
gold_mine	gdp_mine	1200.0000
gold_mine	resource_prod_gold	1.0000
governors_mansion	agent_spawn_rate_basic_hidden	0.5000
governors_mansion	recruitment_points	1.0000
governors_mansion	region_turns_to_surrender	3.0000
governors_mansion	repression_building	2.0000
governors_mansion	tax_bonus_building	6.0000
governors_palace	agent_spawn_rate_basic_hidden	0.5000
governors_palace	recruitment_points	2.0000
governors_palace	region_turns_to_surrender	4.0000
governors_palace	repression_building	3.0000
governors_palace	tax_bonus_building	9.0000
governors_residence	agent_spawn_rate_basic_hidden	0.5000
governors_residence	recruitment_points	1.0000
governors_residence	region_turns_to_surrender	2.0000
governors_residence	repression_building	1.0000
governors_residence	tax_bonus_building	3.0000
grand_opera_house	happy_culture_lower	3.0000
grand_opera_house	happy_culture_middle	3.0000
grand_opera_house	happy_culture_upper	3.0000
grand_opera_house	tw_growth_education	3.0000
great_museum	happy_culture_lower	4.0000
