building	effect	effect_value
#building_factionwide_effects_junctions_tables;0;db/building_factionwide_effects_junctions_tables/building_factionwide_effects_junctions		
bawdy_house	agent_cap_assassin	1.0000
bawdy_house	agent_cap_rake	1.0000
coaching_inn	agent_cap_assassin	1.0000
coaching_inn	agent_cap_rake	1.0000
college	agent_cap_eastern_scholar	1.0000
college	agent_cap_gentleman	1.0000
enlightened_university	agent_cap_eastern_scholar	1.0000
enlightened_university	agent_cap_gentleman	1.0000
pleasure_gardens	agent_cap_assassin	1.0000
pleasure_gardens	agent_cap_rake	1.0000
prest_prussia_berlin_academy	agent_cap_eastern_scholar	1.0000
prest_prussia_berlin_academy	agent_cap_gentleman	1.0000
prest_prussia_berlin_academy	research_rate_mod	3.0000
prest_spain_academia	agent_cap_eastern_scholar	1.0000
prest_spain_academia	agent_cap_gentleman	1.0000
prest_spain_academia	research_rate_mod	3.0000
rel_catholic_0	agent_cap_missionary	1.0000
rel_catholic_1	agent_cap_missionary	1.0000
rel_catholic_2	agent_cap_missionary	1.0000
rel_hindu_0	agent_cap_missionary	1.0000
rel_hindu_1	agent_cap_missionary	1.0000
rel_hindu_2	agent_cap_missionary	1.0000
rel_islam_0	agent_cap_missionary	1.0000
rel_islam_1	agent_cap_missionary	1.0000
rel_islam_2	agent_cap_missionary	1.0000
rel_orthodox_0	agent_cap_missionary	1.0000
rel_orthodox_1	agent_cap_missionary	1.0000
rel_orthodox_2	agent_cap_missionary	1.0000
rel_protestant_0	agent_cap_missionary	1.0000
rel_protestant_1	agent_cap_missionary	1.0000
rel_protestant_2	agent_cap_missionary	1.0000
royal_academy	agent_cap_eastern_scholar	1.0000
royal_academy	agent_cap_gentleman	1.0000
royal_academy	research_rate_mod	3.0000
royal_observatory	agent_cap_eastern_scholar	1.0000
royal_observatory	agent_cap_gentleman	1.0000
royal_observatory	research_rate_mod	2.0000
school	agent_cap_eastern_scholar	1.0000
school	agent_cap_gentleman	1.0000
theatre	agent_cap_assassin	1.0000
theatre	agent_cap_rake	1.0000
tribal_meeting_hall	agent_cap_assassin	1.0000
tribal_meeting_hall	agent_cap_rake	1.0000
tribal_village_longhouse	agent_cap_assassin	1.0000
tribal_village_longhouse	agent_cap_rake	1.0000
university	agent_cap_eastern_scholar	1.0000
university	agent_cap_gentleman	1.0000
