building	research_thread	speed_bonus
#building_research_thread_junction_tables;0;db/building_research_thread_junction_tables/building_research_thread_junction		
army_barracks	techtree_army	0.0000
army_board	techtree_army	0.2500
army_encampment	techtree_army	0.0250
cannon_foundry	techtree_army	0.0000
ceramics_factory	techtree_industry	0.2500
coffee_warehouse	techtree_agriculture	0.2000
college	techtree_philosophy	0.1000
corn_clearances	techtree_agriculture	0.2000
corn_great_estates	techtree_agriculture	0.3000
corn_peasant_farms	techtree_agriculture	0.0000
corn_tenanted_farms	techtree_agriculture	0.1000
cotton_warehouse	techtree_agriculture	0.2000
craft_workshops_pottery	techtree_industry	0.0000
deep_gem_shaft	techtree_industry	0.1000
dockyard	techtree_naval	0.1000
drill_school	techtree_army	0.1000
drydock	techtree_naval	0.2000
engineer_school	techtree_army	0.4000
enlightened_university	techtree_philosophy	0.4000
gold_mine	techtree_industry	0.0000
great_arsenal	techtree_army	0.2000
great_museum	techtree_philosophy	0.1500
gunnery_school	techtree_army	0.3500
industrial_gold_mining_complex	techtree_industry	0.2000
industrial_iron_mining_complex	techtree_industry	0.2000
industrial_silver_mining_complex	techtree_industry	0.2000
iron_mine	techtree_industry	0.0000
iron_workshops	techtree_industry	0.1000
ironmasters_works	techtree_industry	0.2000
kilns	techtree_industry	0.1500
large_coffee_plantation	techtree_agriculture	0.1000
large_cotton_plantation	techtree_agriculture	0.1000
large_spices_plantation	techtree_agriculture	0.1000
large_sugar_plantation	techtree_agriculture	0.1000
large_tea_plantation	techtree_agriculture	0.1000
large_tobacco_plantation	techtree_agriculture	0.1000
military_academy	techtree_army	0.3000
naval_hospital	techtree_naval	0.3000
open_gem_pit	techtree_industry	0.0000
ordnance_board	techtree_army	0.3000
ordnance_factory	techtree_army	0.1000
pottery_workshops	techtree_industry	0.0500
rice_farming_commune	techtree_agriculture	0.1500
rice_farms	techtree_agriculture	0.0500
rice_paddies	techtree_agriculture	0.0000
royal_academy	techtree_agriculture	0.2500
royal_observatory	techtree_philosophy	0.1500
school	techtree_philosophy	0.0000
sheep_clearances	techtree_agriculture	0.2000
sheep_great_estates	techtree_agriculture	0.3000
sheep_peasant_farms	techtree_agriculture	0.0000
sheep_tenanted_farms	techtree_agriculture	0.1000
shipyard	techtree_naval	0.0000
silver_mine	techtree_industry	0.0000
small_coffee_plantation	techtree_agriculture	0.0000
small_cotton_plantation	techtree_agriculture	0.0000
small_spices_plantation	techtree_agriculture	0.0000
small_sugar_plantation	techtree_agriculture	0.0000
small_tea_plantation	techtree_agriculture	0.0000
small_tobacco_plantation	techtree_agriculture	0.0000
spices_warehouse	techtree_agriculture	0.2000
steam_drydock	techtree_naval	0.3000
steam_engine_factory	techtree_industry	0.3000
steam-powered_cloth_mill	techtree_industry	0.3000
steam-powered_sugar_mill	techtree_industry	0.2500
steam-pumped_gold_mine	techtree_industry	0.1000
steam-pumped_iron_mine	techtree_industry	0.1000
steam-pumped_silver_mine	techtree_industry	0.1000
sugar_warehouse	techtree_agriculture	0.2000
tea_warehouse	techtree_agriculture	0.2000
tobacco_warehouse	techtree_agriculture	0.2000
tribal_gunsmith	techtree_army	0.0250
tribal_horse_breeder	techtree_army	0.0250
tribal_hunting_grounds	techtree_army	0.0250
tribal_practice_fields	techtree_army	0.0500
tribal_warrior_lodge	techtree_army	0.0500
university	techtree_philosophy	0.2000
vineyards	techtree_agriculture	0.0000
water-powered_cloth_mill	techtree_industry	0.2000
weavers_cottages	techtree_industry	0.1000
wheat_clearances	techtree_agriculture	0.2000
wheat_great_estates	techtree_agriculture	0.3000
wheat_peasant_farms	techtree_agriculture	0.0000
wheat_tenanted_farms	techtree_agriculture	0.1000
wine_estates	techtree_agriculture	0.2000
wineries	techtree_agriculture	0.1000
