from	to
#building_upgrades_junction_tables;0;db/building_upgrades_junction_tables/building_upgrades_junction	
admiralty	naval_board
army_barracks	drill_school
army_board	army_staff_college
army_encampment	army_barracks
basic_roads	improved_roads
bawdy_house	theatre
cannon_foundry	ordnance_factory
coaching_inn	bawdy_house
college	university
commercial_basin	trading_company
commercial_port	commercial_basin
conservatorium	opera_house
corn_clearances	corn_great_estates
corn_great_estates	corn_great_royal_palace
corn_peasant_farms	corn_tenanted_farms
corn_tenanted_farms	corn_clearances
craft_workshops_metal	iron_workshops
craft_workshops_pottery	pottery_workshops
craft_workshops_textiles	weavers_cottages
dockyard	drydock
drill_school	military_academy
drydock	naval_hospital
drydock	steam_drydock
fishing_fleet	major_fishery
fur_market	fur_exchange
fur_merchant	fur_market
gold_mine	steam-pumped_gold_mine
governors_mansion	governors_palace
governors_palace	royal_palace
governors_residence	governors_mansion
grand_opera_house	great_museum
great_arsenal	gunnery_school
great_museum	prest_austria_albertina
great_museum	prest_britain_british_museum
army_staff_college	prest_france_arc_de_triomphe
great_museum	prest_ottomans_nur-u_osmaniye_mosque
great_museum	prest_poland_lazienki_park
royal_academy	prest_prussia_berlin_academy
army_staff_college	prest_prussia_brandenburg_gate
great_museum	prest_russia_kunstkamara
royal_academy	prest_spain_academia
great_museum	prest_sweden_konglig_museum
great_museum	prest_unitedprovinces_teylers_museum
great_museum	prest_usa_smithsonian
gunnery_school	ordnance_board
imperial_palace	prest_austria_hofburg
imperial_palace	prest_britain_somerset_house
imperial_palace	prest_france_palais_bourbon
army_staff_college	prest_poland_akademia
imperial_palace	prest_russia_winter_palace
imperial_palace	prest_spain_palacio_real_de_madrid
imperial_palace	prest_usa_independence_hall
improved_roads	tarmac_roads
iron_mine	steam-pumped_iron_mine
iron_workshops	ironmasters_works
ironmasters_works	steam_engine_factory
kilns	ceramics_factory
large_coffee_plantation	coffee_warehouse
large_cotton_plantation	cotton_warehouse
large_spices_plantation	spices_warehouse
large_sugar_plantation	sugar_warehouse
large_tea_plantation	tea_warehouse
large_tobacco_plantation	tobacco_warehouse
local_fishery	fishing_fleet
magistrate	governors_residence
military_academy	army_board
minor_governors_barracks	minor_royal_palace
minor_governors_encampment	minor_governors_barracks
minor_governors_mansion	minor_governors_palace
minor_governors_palace	minor_royal_palace
minor_governors_residence	minor_governors_encampment
minor_governors_residence	minor_governors_mansion
minor_magistrate	minor_governors_residence
naval_board	naval_college
naval_college	prest_ottomans_naval_engineering_school
open_gem_pit	deep_gem_shaft
opera_house	grand_opera_house
opera_house	royal_observatory
ordnance_board	engineer_school
ordnance_factory	great_arsenal
pottery_workshops	kilns
rel_catholic_0	rel_catholic_1
rel_catholic_1	rel_catholic_2
rel_hindu_0	rel_hindu_1
rel_hindu_1	rel_hindu_2
rel_islam_0	rel_islam_1
rel_islam_1	rel_islam_2
rel_orthodox_0	rel_orthodox_1
rel_orthodox_1	rel_orthodox_2
rel_protestant_0	rel_protestant_1
rel_protestant_1	rel_protestant_2
rice_farms	rice_farming_commune
rice_paddies	rice_farms
imperial_palace	prest_sweden_slott
naval_college	prest_unitedprovinces_kweekschool
royal_observatory	royal_academy
royal_palace	imperial_palace
school	college
settlement_fortifications	improved_settlement_fortifications
sheep_clearances	sheep_great_estates
sheep_great_estates	sheep_great_royal_palace
sheep_peasant_farms	sheep_tenanted_farms
sheep_tenanted_farms	sheep_clearances
shipyard	dockyard
silver_mine	steam-pumped_silver_mine
small_coffee_plantation	large_coffee_plantation
small_cotton_plantation	large_cotton_plantation
small_spices_plantation	large_spices_plantation
small_sugar_plantation	large_sugar_plantation
small_tea_plantation	large_tea_plantation
small_tobacco_plantation	large_tobacco_plantation
steam-pumped_gold_mine	industrial_gold_mining_complex
steam-pumped_iron_mine	industrial_iron_mining_complex
steam-pumped_silver_mine	industrial_silver_mining_complex
sugar_warehouse	steam-powered_sugar_mill
theatre	pleasure_gardens
timber_logging_camp	timber_lumber_mill
trading_port	commercial_port
tribal_ancestral_ground	tribal_holy_ground
tribal_burial_ground	tribal_ancestral_ground
tribal_chiefs_lodge	tribal_high_chiefs_lodge
tribal_council_of_elders	tribal_chiefs_lodge
tribal_drill_grounds	tribal_horse_breeder
tribal_high_chiefs_lodge	tribal_confederation_of_tribes
tribal_holy_ground	tribal_spiritual_circle
tribal_horse_breeder	tribal_warrior_lodge
tribal_hunting_grounds	tribal_drill_grounds
tribal_practice_fields	tribal_gunsmith
tribal_spiritual_circle	tribal_shamanic_gateway
tribal_village_longhouse	tribal_meeting_hall
tribal_warrior_lodge	tribal_practice_fields
university	enlightened_university
vineyards	wineries
water-powered_cloth_mill	steam-powered_cloth_mill
weavers_cottages	water-powered_cloth_mill
western_artillery_fort	star_fort
wheat_clearances	wheat_great_estates
wheat_great_estates	wheat_great_royal_palace
wheat_peasant_farms	wheat_tenanted_farms
wheat_tenanted_farms	wheat_clearances
wineries	wine_estates
wooden_artillery_fort	western_artillery_fort
army_staff_college	prest_maratha_ajinkyatara
imperial_palace	prest_maratha_shaniwarwada
