key	continent	unnamed colour group_1
#regions_tables;0;db/regions_tables/regions		
acadia	cont_america_north	7D5D33
afghanistan	cont_middle_east	FFF600
ahmadnagar	cont_india	DEA200
algiers	cont_middle_east	07008C
algonquin_territory	cont_america_north	225FC4
alsace	cont_europe	00BA00
amazonas	cont_impassable	000000
anatolia	cont_middle_east	DE9200
arabia	cont_impassable	000000
arkhangelsk	cont_europe	814295
armenia	cont_europe	D0D554
astrakhan	cont_europe	6D2323
austria	cont_europe	930000
azerbaijan	cont_middle_east	81A680
bahamas	cont_america_north	C0C7FF
baluchistan	cont_middle_east	886B26
bashkira	cont_europe	FF008A
bavaria	cont_europe	DCCA00
belarus	cont_europe	7F86E5
bengal	cont_india	63A06A
berar	cont_india	623715
bijapur	cont_india	60BB28
bohemia	cont_europe	002C9D
bosnia	cont_europe	A09621
bulgaria	cont_europe	5F4C25
carnatica	cont_india	A99D17
carolinas	cont_america_north	656E8A
central_africa	cont_impassable	000000
ceylon	cont_india	4E2424
chechenya-dagestan	cont_europe	858BFF
cherokee_territory	cont_america_north	C7A88F
china	cont_impassable	000000
congo_impassable	cont_impassable	000000
corsica	cont_europe	18B100
courland	cont_europe	820087
crimea	cont_europe	E591F0
croatia	cont_europe	920097
cuba	cont_america_latin	746C55
curacao	cont_america_latin	94622D
denmark	cont_europe	BB0000
don_voisko	cont_europe	BEB33C
dutch_guyana	cont_america_latin	ACA965
east_africa	cont_impassable	000000
egypt	cont_middle_east	4256BA
england	cont_europe	9E0000
estonia_and_livonia	cont_europe	9D9DCC
finland	cont_europe	BE0000
flanders	cont_europe	318C25
florida	cont_america_north	90008A
france	cont_europe	003EDE
french_guyana	cont_america_latin	2D3391
galicia	cont_europe	988473
genoa	cont_europe	D9DC00
georgia	cont_europe	980E0E
georgia_usa	cont_america_north	3DFF3D
gibraltar	cont_europe	FFEB7E
great_plains	cont_america_north	AB7413
greece	cont_europe	5A4490
greenland	cont_impassable	000000
guatemala	cont_america_latin	D7B706
gujarat	cont_india	566E51
hannover	cont_europe	DDCB00
hausa	cont_impassable	000000
himalayas	cont_impassable	000000
hindukush	cont_impassable	000000
hindustan	cont_india	000ADE
hispaniola	cont_america_latin	C2FFA4
hungary	cont_europe	5C8859
huron_territory	cont_america_north	DBD400
hyderabad	cont_india	D13333
iceland	cont_europe	DD0000
indochina	cont_impassable	000000
ingria	cont_europe	9B8C43
ireland	cont_europe	028002
iroquois_territory	cont_america_north	C04646
ivory_coast	cont_impassable	000000
jamaica	cont_america_latin	A15B5B
kaintuck_territory	cont_america_north	4A2D15
kalahari	cont_impassable	000000
karelia	cont_europe	34B200
kashmir	cont_india	CD1212
komi	cont_europe	EAFDFF
labrador	cont_america_north	8EAB1A
leeward_islands	cont_america_latin	F9AEFF
lithuania	cont_europe	C1FFB5
lower_louisiana	cont_america_north	A88E00
maine	cont_america_north	CC00DE
malabar	cont_india	CED016
malta	cont_europe	0F00DD
malwa	cont_india	FF8D8D
maryland	cont_america_north	885600
mesopotamia	cont_middle_east	AE9090
michigan_territory	cont_america_north	7FD384
milan	cont_europe	000F81
moldavia	cont_europe	A34B4B
morea	cont_europe	FFCF83
morocco	cont_middle_east	10DE00
muscovy	cont_europe	654747
mysore	cont_india	820086
naples	cont_europe	ECD561
netherlands	cont_europe	DE8800
new_andalusia	cont_america_latin	4B734A
new_england	cont_america_north	0053DE
new_france	cont_america_north	525ABA
new_grenada	cont_america_latin	92C282
new_mexico	cont_america_north	C0A700
new_spain	cont_america_latin	DD0000
new_york	cont_america_north	66A563
newfoundland	cont_america_north	A1996B
northwest_territories	cont_america_north	FFCCDC
northwest_territorys	cont_impassable	000000
norway	cont_europe	DDC100
ontario	cont_america_north	FF9000
orissa	cont_india	AC6F37
palestine	cont_middle_east	00D200
panama	cont_america_latin	5B7E3E
pennsylvania	cont_america_north	E33D3D
persia	cont_middle_east	2C2C91
poland	cont_europe	903F3F
portugal	cont_europe	607E59
prussia	cont_europe	B7B7FF
punjab	cont_india	3CFF00
rajpootana	cont_india	DEC206
rhineland	cont_europe	850099
rift_valley	cont_impassable	000000
rumelia	cont_europe	1E916D
ruperts_land	cont_america_north	75DC19
sahara	cont_impassable	000000
sardinia	cont_europe	0010D9
savoy	cont_europe	1CAA00
saxony	cont_europe	DE8300
scotland	cont_europe	8D8852
serbia	cont_europe	E57878
siberia	cont_impassable	000000
silesia	cont_europe	64007D
sindh	cont_india	DE0000
south_africa	cont_impassable	000000
spain	cont_europe	DE0000
sweden	cont_europe	1000DE
syria	cont_middle_east	A99B00
tatariya	cont_europe	8EB54B
tejas	cont_america_north	076D00
the_papal_states	cont_europe	B75D5D
transylvania	cont_europe	246F7A
trinidad_tobago	cont_america_latin	6F6AD3
tripoli	cont_middle_east	9D993B
tunis	cont_middle_east	C800CF
turkoman	cont_impassable	000000
ukraine	cont_europe	27430E
unexplorable	cont_impassable	000000
upper_louisiana	cont_america_north	0021AB
venice	cont_europe	069D18
virginia	cont_america_north	528F7C
west_pommerania	cont_europe	723D12
west_prussia	cont_europe	ADC64B
western_plain	cont_impassable	000000
windward_islands	cont_america_latin	D1D1D1
wurttemberg	cont_europe	2C00BB
