key	name_group	ship_name	exclusive_to_faction
#ship_names_tables;0;db/ship_names_tables/ship_names			
1	names_dutch	Achilles	
2	names_dutch	Admiraal de Ruijter	netherlands
3	names_dutch	Admiraal Genraal	netherlands
4	names_dutch	Admiraal Piet Hein	netherlands
5	names_dutch	Admiraal Tjerck Hiddes de Vries	netherlands
6	names_dutch	Admiraal Zoutman	netherlands
7	names_dutch	Agatha	
8	names_dutch	Akerboom	
9	names_dutch	Alida	
10	names_dutch	Alkmaar	
11	names_dutch	Amsterdam	netherlands
12	names_dutch	Arend	
13	names_dutch	Argo	
14	names_dutch	Arnhem	
15	names_dutch	Assendelft	
16	names_dutch	Aurora	
17	names_dutch	Banier	
18	names_dutch	Batavia	
19	names_dutch	Batavier	
20	names_dutch	Beemster	
21	names_dutch	Beemsterlust	
22	names_dutch	Beschermer	
23	names_dutch	Beschutter	
24	names_dutch	Beurs	
25	names_dutch	Boekenrode	
26	names_dutch	Boetselaer	
27	names_dutch	Bommel	
28	names_dutch	Braek	
29	names_dutch	Brak	
30	names_dutch	Brakel	
31	names_dutch	Breda	
32	names_dutch	Brielle	
33	names_dutch	Bruinvisch	
34	names_dutch	Buis	
35	names_dutch	Burcht van Alkmar	netherlands
36	names_dutch	Burcht van Leiden	netherlands
37	names_dutch	Burg	
38	names_dutch	Carolus Quintus	
39	names_dutch	Castricum	
40	names_dutch	Catharina	
41	names_dutch	Cerberus	
42	names_dutch	Chattam	
43	names_dutch	Convertine	
44	names_dutch	Cornelia	
45	names_dutch	Curacao	
46	names_dutch	Daalhem	
47	names_dutch	Damiaten	
48	names_dutch	De Brederode	
49	names_dutch	De Delft	
50	names_dutch	De Leeuw	
51	names_dutch	De Ruyter	
52	names_dutch	De Zeven Provincien	netherlands
53	names_dutch	Delfland	
54	names_dutch	Delft	
55	names_dutch	Den Brankel	
56	names_dutch	Deventer	
57	names_dutch	Dieren	
58	names_dutch	Doggersbank	
59	names_dutch	Dolfijn	
60	names_dutch	Dom van Utrecht	netherlands
61	names_dutch	Dordrecht	
62	names_dutch	Drakenstein	
63	names_dutch	Drenthe	
64	names_dutch	Drie Koningen	
65	names_dutch	Duinrel	
66	names_dutch	Duyfken	
67	names_dutch	Edam	
68	names_dutch	Eendracht	
69	names_dutch	Eendracht (1615) ("Unity")	
70	names_dutch	Eenhoorn	
71	names_dutch	Eerste Edele	
72	names_dutch	Elf Steden	
73	names_dutch	Elias	
74	names_dutch	Elswoud	
75	names_dutch	Enkhuizen	
76	names_dutch	Erfprins	
77	names_dutch	Essen	
78	names_dutch	Europa	
79	names_dutch	Faijsant	
80	names_dutch	Fanfaron	
81	names_dutch	Fort Goeree	
82	names_dutch	Frisia	
83	names_dutch	Gaasterland	
84	names_dutch	Galias	
85	names_dutch	Gekroonde Burg	
86	names_dutch	Gelderland	
87	names_dutch	Gelderscher Ruiter	
88	names_dutch	Geloof	
89	names_dutch	Gideon	
90	names_dutch	Glindhorst	
91	names_dutch	Gorichem	
92	names_dutch	Gouda	
93	names_dutch	Gouden Star	
94	names_dutch	Graaf van Albemarle	
95	names_dutch	Graaf van Solms	
96	names_dutch	Grijpskerk	
97	names_dutch	Groningen	
98	names_dutch	Groonwijf	
99	names_dutch	Groote Heere Veld	
100	names_dutch	Grooten Broeck	
101	names_dutch	Grooter Herder	
102	names_dutch	Gulden Zeepaert	
103	names_dutch	Haarlem	
104	names_dutch	Hal	
105	names_dutch	Halve Maen	
106	names_dutch	Hardenbroek	
107	names_dutch	Harderin	
108	names_dutch	Harderwijk	
109	names_dutch	Havik	
110	names_dutch	Hazewind	
111	names_dutch	Heemskerck	
112	names_dutch	Heernstede	
113	names_dutch	Hellevoetsluis	
114	names_dutch	Hersteller	
115	names_dutch	Hertog van York	
116	names_dutch	Hof Sint-Janskerk	
117	names_dutch	Hof van Rhenen	netherlands
118	names_dutch	Hof van Zeeland	netherlands
119	names_dutch	Holland	netherlands
120	names_dutch	Hollandia	netherlands
121	names_dutch	Hollandsche	netherlands
122	names_dutch	Hollandsche Tuin	netherlands
123	names_dutch	Honslaarsdijk	
124	names_dutch	Hoop	
125	names_dutch	Huis te Neck	
126	names_dutch	Ijist	
127	names_dutch	Jager	
128	names_dutch	Johan de Witt	netherlands
129	names_dutch	Jonge Prins	
130	names_dutch	Jonge Prins te Paard	
131	names_dutch	Jupiter	
132	names_dutch	Justina van Nassau	netherlands
133	names_dutch	Kalandsoog	
134	names_dutch	Kampen	
135	names_dutch	Kasteel van Egmond	netherlands
136	names_dutch	Kasteel van Medemblik	netherlands
137	names_dutch	Kat	
138	names_dutch	Katwijk	
139	names_dutch	Keizerswaard	
140	names_dutch	Kennemerland	
141	names_dutch	Keurvorst van Saksen	netherlands
142	names_dutch	Keurvorstin van Brandenburg	netherlands
143	names_dutch	Klein Amsterdam	
144	names_dutch	Kloek	
145	names_dutch	Kommetster	
146	names_dutch	Koning William	netherlands
147	names_dutch	Kortgene	
148	names_dutch	Kroonvogel	
149	names_dutch	Kruidberg	
150	names_dutch	LandsKroon	
151	names_dutch	Leeuwarden	
152	names_dutch	Leeuwerik	
153	names_dutch	Leiden	
154	names_dutch	Leyden	
155	names_dutch	Liefde	
156	names_dutch	Limmen	
157	names_dutch	Loosdrecht	
158	names_dutch	Maagd van Dordrecht	netherlands
159	names_dutch	Maan	
160	names_dutch	Maarseveen	
161	names_dutch	Maas	
162	names_dutch	Maen	
163	names_dutch	Maria Elisabeth	
164	names_dutch	Mars	
165	names_dutch	Matenes	
166	names_dutch	Matenesse	
167	names_dutch	Medemblik	
168	names_dutch	Meermin	
169	names_dutch	Mercurius	
170	names_dutch	Middelburg	
171	names_dutch	Middelhoven	
172	names_dutch	Monnikendam	
173	names_dutch	Morgenstar	
174	names_dutch	Moriaans Hoofd	
175	names_dutch	Morianshoofd	
176	names_dutch	Muiden	
177	names_dutch	Muiderberg	
178	names_dutch	Nagelboom	
179	names_dutch	Nassau	
180	names_dutch	Nassau Weilburg	
181	names_dutch	Neptunus	
182	names_dutch	Nieuwenhuis	
183	names_dutch	Nijmegen	netherlands
184	names_dutch	Noord Holland	netherlands
185	names_dutch	Noorderkwartier	
186	names_dutch	Oldenbarneveldt	
187	names_dutch	Olifant	
188	names_dutch	Omlandia	netherlands
189	names_dutch	Oostergo	
190	names_dutch	Oost-Stellingwerf	
191	names_dutch	Oranje	netherlands
192	names_dutch	Oranjeboom	netherlands
193	names_dutch	Oranjegalei	netherlands
194	names_dutch	Oud Naarden	
195	names_dutch	Oudkarspel	
196	names_dutch	Overijssel	
197	names_dutch	Pacificatie	
198	names_dutch	Pauw	
199	names_dutch	Pera	
200	names_dutch	Peter Paulus	
201	names_dutch	Polanen	
202	names_dutch	Popskenburg	
203	names_dutch	Postiljon	
204	names_dutch	Prins Frederik	netherlands
205	names_dutch	Prins Friso	netherlands
206	names_dutch	Prins Hendrik Casimir	netherlands
207	names_dutch	Prins Maurits	netherlands
208	names_dutch	Prins Willem	netherlands
209	names_dutch	Prins Willem de Eersts	netherlands
210	names_dutch	Prinses Amalia	netherlands
211	names_dutch	Prinses Carolina	netherlands
212	names_dutch	Prinses Louise	netherlands
