template_name	model_filename	model_filepath
#slots_templates_models_tables;0;db/slots_templates_models_tables/slots_templates_models		
EU_Port	EU_Port	RigidModels/CampaignBuildings/Templates/EU
EU_Port_Village	EU_Port_Village_slot	RigidModels/CampaignBuildings/Templates/EU
EU_Settlement	EU_City	RigidModels/CampaignBuildings/Templates/EU
EU_Town	EU_Town	RigidModels/CampaignBuildings/Templates/EU
EU_Village	EU_Town_Village_slot	RigidModels/CampaignBuildings/Templates/EU
IND_Port	IND_Port	RigidModels/CampaignBuildings/Templates/IND
IND_Port_Village	IND_Port_Village_slot	RigidModels/CampaignBuildings/Templates/IND
IND_Settlement	IND_City	RigidModels/CampaignBuildings/Templates/IND
IND_Town	IND_Town	RigidModels/CampaignBuildings/Templates/IND
IND_Village	IND_Town_Village_slot	RigidModels/CampaignBuildings/Templates/IND
NA_Port	NA_Port	RigidModels/CampaignBuildings/Templates/NA
NA_Port_Village	EU_Port_Village_slot	RigidModels/CampaignBuildings/Templates/NA
NA_Settlement	NA_City	RigidModels/CampaignBuildings/Templates/NA
NA_Town	NA_Town	RigidModels/CampaignBuildings/Templates/NA
NA_Village	NA_Town_Village_slot	RigidModels/CampaignBuildings/Templates/NA
OTT_Port	OTT_Port	RigidModels/CampaignBuildings/Templates/OTT
OTT_Port_Village	OTT_Port_Village_slot	RigidModels/CampaignBuildings/Templates/OTT
OTT_Settlement	OTT_City	RigidModels/CampaignBuildings/Templates/OTT
OTT_Town	OTT_Town	RigidModels/CampaignBuildings/Templates/OTT
OTT_Village	OTT_Town_Village_slot	RigidModels/CampaignBuildings/Templates/OTT
