tax_name	effect	value
#taxes_effects_jct_tables;0;db/taxes_effects_jct_tables/taxes_effects_jct		
lower_extortionate	happy_active_lower_tax	-16.0000
lower_extortionate	pop_growth_tax_modifier	-0.4500
lower_extortionate	pop_growth_tax_modifier_multiplier	-1.2000
lower_extortionate	pop_growth_visible_tax_effect_extortionate	0.0000
lower_high	happy_active_lower_tax	-10.0000
lower_high	pop_growth_tax_modifier	-0.3500
lower_high	pop_growth_tax_modifier_multiplier	-0.8000
lower_high	pop_growth_visible_tax_effect_high	0.0000
lower_low	happy_active_lower_tax	-2.0000
lower_low	pop_growth_tax_modifier	-0.1500
lower_low	pop_growth_tax_modifier_multiplier	-0.2000
lower_low	pop_growth_visible_tax_effect_low	0.0000
lower_minimal	happy_active_lower_tax	-1.0000
lower_minimal	pop_growth_tax_modifier	-0.0500
lower_minimal	pop_growth_tax_modifier_multiplier	-0.1000
lower_minimal	pop_growth_visible_tax_effect_minimal	0.0000
lower_normal	happy_active_lower_tax	-4.0000
lower_normal	pop_growth_tax_modifier	-0.2500
lower_normal	pop_growth_tax_modifier_multiplier	-0.4000
lower_normal	pop_growth_visible_tax_effect_normal	0.0000
upper_extortionate	happy_active_upper_tax	-16.0000
upper_extortionate	tw_growth_taxes_fixed	-32.0000
upper_extortionate	tw_growth_taxes_modifier	-1.2000
upper_high	happy_active_upper_tax	-10.0000
upper_high	tw_growth_taxes_fixed	-16.0000
upper_high	tw_growth_taxes_modifier	-0.8000
upper_low	happy_active_upper_tax	-2.0000
upper_low	tw_growth_taxes_fixed	-4.0000
upper_low	tw_growth_taxes_modifier	-0.2000
upper_minimal	happy_active_upper_tax	-1.0000
upper_minimal	tw_growth_taxes_fixed	-2.0000
upper_minimal	tw_growth_taxes_modifier	-0.1000
upper_normal	happy_active_upper_tax	-4.0000
upper_normal	tw_growth_taxes_fixed	-8.0000
upper_normal	tw_growth_taxes_modifier	-0.4000
