trait	agent
#trait_to_included_agents_tables;0;db/trait_to_included_agents_tables/trait_to_included_agents	
C_Admiral_Attacker_Bad	admiral
C_Admiral_Attacker_Good	admiral
C_Admiral_Bad	admiral
C_Admiral_Blockade_Runner_Good	admiral
C_Admiral_Blockader_Good	admiral
C_Admiral_Boring_Speaker	admiral
C_Admiral_Born_Sailor	admiral
C_Admiral_Brave	admiral
C_Admiral_British_Drakes_Drum	admiral
C_Admiral_British_Drakes_Drum	captain
C_Admiral_Coward	admiral
C_Admiral_Cruisers	admiral
C_Admiral_Defender_Bad	admiral
C_Admiral_Defender_Good	admiral
C_Admiral_Drunkard	admiral
C_Admiral_Dutch_Seamanship	General
C_Admiral_Good	admiral
C_Admiral_Lampooned	admiral
C_Admiral_Lampooned	captain
C_Admiral_Mad	admiral
C_Admiral_Martinet	admiral
C_Admiral_Martinet	captain
C_Admiral_Mathematician	admiral
C_Admiral_Press_Hero	admiral
C_Admiral_Rated_Ships	admiral
C_Admiral_Slacker	admiral
C_Admiral_Sobriety	admiral
C_Admiral_Spanish_National_Pride	admiral
C_Admiral_Swashbuckling	admiral
C_Agent_Secret_Police	assassin
C_Agent_Secret_Police	rake
C_Agent_Spy_Network	assassin
C_Agent_Spy_Network	rake
C_Feck_Vice	admiral
C_Feck_Vice	assassin
C_Feck_Vice	General
C_Feck_Vice	gentleman
C_Feck_Vice	minister
C_Feck_Vice	pirate
C_Feck_Vice	rake
C_General_Ambush_Good	General
C_General_Ambusher_Bad	General
C_General_Americas_Bad	General
C_General_Americas_Good	General
C_General_Attacker_Bad	General
C_General_Attacker_Good	General
C_General_Austrian_Hates_Ottomans	General
C_General_Bad_Field_Commander	General
C_General_Bloody	General
C_General_Born_Soldier	General
C_General_Brave	General
C_General_Coward	General
C_General_Defender_Bad	General
C_General_Defender_Good	General
C_General_Drunkard	General
C_General_French_Elan	General
C_General_Good_Field_Commander	General
C_General_India_Bad	General
C_General_India_Good	General
C_General_Lampooned	colonel
C_General_Lampooned	General
C_General_Mad	General
C_General_Marine_Bad	General
C_General_Marine_Good	General
C_General_Mughal_Anti_European	General
C_General_of_Artillery	General
C_General_of_Cavalry	General
C_General_of_Infantry	General
C_General_Polish_Stubborn	General
C_General_Press_Hero	colonel
C_General_Press_Hero	General
C_General_Prussian_Blue	colonel
C_General_Prussian_Blue	General
C_General_Russian_Vodka	General
C_General_Scout	General
C_General_Siege_Attack_Bad	General
C_General_Siege_Attack_Good	General
C_General_Siege_Defend_Bad	General
C_General_Siege_Defend_Good	General
C_General_Swedish_Aggression	General
C_General_Turkish_Master_Gunner	General
C_General_US_Backwoodsman	colonel
C_General_US_Backwoodsman	General
C_General_Warlord	General
C_Gent_Academic_Honours	Eastern_Scholar
C_Gent_Academic_Honours	gentleman
C_Gent_Duelling_Pistol	gentleman
C_Gent_Duelling_Sword	gentleman
C_Gent_Research_Agriculture	Eastern_Scholar
C_Gent_Research_Agriculture	gentleman
C_Gent_Research_Economics	Eastern_Scholar
C_Gent_Research_Economics	gentleman
C_Gent_Research_Industry	Eastern_Scholar
C_Gent_Research_Industry	gentleman
C_Gent_Research_Military	Eastern_Scholar
C_Gent_Research_Military	gentleman
C_Gent_Research_Navy	Eastern_Scholar
C_Gent_Research_Navy	gentleman
C_Gent_Research_Philosophy	Eastern_Scholar
C_Gent_Research_Philosophy	gentleman
C_Gent_Science_Club	gentleman
C_Honourable_Service	admiral
C_Honourable_Service	General
C_Leader_Agent_99	minister
C_Leader_Clever_Stick	minister
C_Leader_Debauched	minister
C_Leader_Dullard	minister
C_Leader_Foreign_Tastes	minister
C_Leader_Humanist	minister
C_Leader_Huntin_Shootin_Fishin	minister
C_Leader_Inbred	minister
C_Leader_M	minister
C_Leader_Mr_Waverley	minister
C_Leader_Uncouth	minister
C_Minister_Army_Good	minister
C_Minister_Corrupt	minister
C_Minister_Entertainer	minister
C_Minister_Fiscal_Genius	minister
C_Minister_Industrialist	gentleman
C_Minister_Industrialist	minister
C_Minister_Miser	minister
