trigger	event	conditions
#trait_triggers_tables;0;db/trait_triggers_tables/trait_triggers		
C_Admiral_Attacker_Bad_Trigger	CharacterCompletedBattle	CharacterType("admiral") and CharacterWasAttacker() and not CharacterWonBattle()
C_Admiral_Attacker_Good_Trigger	CharacterCompletedBattle	CharacterType("admiral") and CharacterWasAttacker() and CharacterWonBattle()
C_Admiral_Bad_Trigger	CharacterCompletedBattle	CharacterType("admiral") and not CharacterWonBattle()
C_Admiral_Blockade_Runner_Good_Trigger	CharacterCompletedBattle	CharacterType("admiral") and CampaignBattleType("naval_breakout") and CharacterWasAttacker() and CharacterWonBattle()
C_Admiral_Blockader_Good_Trigger	CharacterCompletedBattle	CharacterType("admiral") and CampaignBattleType("naval_blockade") and not CharacterWasAttacker() and CharacterWonBattle()
C_Admiral_Brave_Trigger	CharacterCompletedBattle	CharacterType("admiral") and CommanderFoughtInBattle() and not CharacterRouted()
C_Admiral_British_Drakes_Drum_Trigger	CharacterCreated	CharacterType("admiral") and CharacterFactionName("britain")
C_Admiral_Coward_Trigger	CharacterCompletedBattle	CharacterType("admiral") and CharacterRouted()
C_Admiral_Created_Trigger	CharacterCreated	CharacterType("admiral")
C_Admiral_Cruisers_Trigger	CharacterCompletedBattle	CharacterType("admiral") and CharacterWonBattle() and CampaignPercentageOfUnitCategory("naval_frigate") >= 50
C_Admiral_Defend_Bad_Trigger	CharacterCompletedBattle	CharacterType("admiral") and not CharacterWasAttacker() and not CharacterWonBattle()
C_Admiral_Defend_Good_Trigger	CharacterCompletedBattle	CharacterType("admiral") and not CharacterWasAttacker() and CharacterWonBattle()
C_Admiral_Drunkard_Trigger	CharacterTurnEnd	CharacterType("admiral") and NoActionThisTurn()
C_Admiral_Dutch_Seamanship_Trigger	CharacterCreated	CharacterType("admiral") and CharacterFactionName("netherlands")
C_Admiral_Good_Trigger	CharacterCompletedBattle	CharacterType("admiral") and CharacterWonBattle()
C_Admiral_Lampooned_Trigger	CharacterCompletedBattle	CharacterType("admiral") and not CharacterWonBattle() and [BattleResult("crushing_defeat") or CampaignPercentageOfOwnRouted() >= 50 or CampaignPercentageOfOwnKilled() >= 50 or CampaignPercentageOfOwnCaptured() >= 30]
C_Admiral_Mad_Trigger	CharacterTurnEnd	CharacterType("admiral") and CharacterTurnsAtSea() > 15 and BattlesFought(5)
C_Admiral_Press_Hero_Trigger	CharacterCompletedBattle	CharacterType("admiral") and CharacterWonBattle() and [BattleResult("heroic_victory") or CampaignPercentageOfThemRouted() >= 50 or CampaignPercentageOfThemKilled() >= 50 or CampaignPercentageOfThemCaptured() >= 30]
C_Admiral_Rated_Ships_Trigger	CharacterCompletedBattle	CharacterType("admiral") and CharacterWonBattle() and CampaignPercentageOfUnitCategory("naval_line_of_battle") >= 50
C_Admiral_Spanish_National_Pride_Trigger	CharacterCreated	CharacterType("admiral") and CharacterFactionName("spain")
C_Admiral_Swashbuckling_Trigger	CharacterCompletedBattle	CharacterType("admiral") and CommanderFoughtInMelee() and not CharacterRouted()
C_Agent_Secret_Police_Trigger	CharacterTurnEnd	CharacterType("rake") and CharacterTurnsAtHome() > 5
C_Agent_Spy_Network_Trigger	CharacterTurnEnd	CharacterType("rake") and CharacterTurnsInEnemyLands() > 5
C_Feck_Vice_Trigger	CharacterTurnEnd	NoActionThisTurn() and InSettlement() and not CharacterType("catholic_missionary") and not CharacterType("indian_missionary") and not CharacterType("middle_east_missionary") and not CharacterType("orthodox_missionary") and not CharacterType("Protestant_Missionary")
C_General_Ambush_Bad_Trigger	CharacterCompletedBattle	CharacterType("General") and CampaignBattleType("land_ambush") and CharacterWasAttacker() and not CharacterWonBattle()
C_General_Ambush_Good_Trigger	CharacterCompletedBattle	CharacterType("General") and CampaignBattleType("land_ambush") and CharacterWasAttacker() and CharacterWonBattle()
C_General_Americas_Bad_Trigger	CharacterCompletedBattle	CharacterType("General") and CharacterInTheatre(1) and not CharacterWonBattle()
C_General_Americas_Good_Trigger	CharacterCompletedBattle	CharacterType("General") and CharacterInTheatre(1) and CharacterWonBattle()
C_General_Attacker_Bad_Trigger	CharacterCompletedBattle	CharacterType("General") and CharacterWasAttacker() and not CharacterWonBattle()
C_General_Attacker_Good_Trigger	CharacterCompletedBattle	CharacterType("General") and CharacterWasAttacker() and CharacterWonBattle()
C_General_Austrian_Hates_Ottomans_Trigger	CharacterCreated	CharacterType("General") and CharacterFactionName("austria")
C_General_Bad_Field_Commander_Trigger	CharacterCompletedBattle	CharacterType("General") and CampaignBattleType("normal") and not CharacterWonBattle()
C_General_Bloody_Trigger	CharacterCompletedBattle	CharacterType("General") and CharacterWonBattle() and CampaignPercentageOfOwnKilled() > 40
C_General_Brave_Trigger	CharacterCompletedBattle	CharacterType("General") and CommanderFoughtInBattle() and not CharacterRouted()
