unit_class	unit_ability
#unit_class_to_unit_ability_junctions_tables;0;db/unit_class_to_unit_ability_junctions_tables/unit_class_to_unit_ability_junctions	
artillery_fixed	gabionade
artillery_foot	gabionade
artillery_horse	gabionade
cavalry_heavy	diamond_formation
cavalry_heavy	wedge_formation
cavalry_lancers	diamond_formation
cavalry_lancers	wedge_formation
cavalry_light	diamond_formation
cavalry_light	wedge_formation
cavalry_missile	fire_mounted
cavalry_standard	diamond_formation
cavalry_standard	wedge_formation
infantry_elite	fire_and_advance
infantry_elite	fire_volley
infantry_elite	improved_platoon_fire_grouped
infantry_elite	mass_fire
infantry_elite	rank_fire
infantry_elite	square_formation
infantry_grenadiers	fire_volley
infantry_grenadiers	mass_fire
infantry_grenadiers	platoon_fire_grouped
infantry_grenadiers	rank_fire
infantry_irregulars	fire_volley
infantry_light	fire_volley
infantry_line	fire_and_advance
infantry_line	fire_volley
infantry_line	mass_fire
infantry_line	platoon_fire_grouped
infantry_line	rank_fire
infantry_militia	fire_volley
infantry_militia	mass_fire
infantry_skirmishers	fire_volley
infantry_skirmishers	mass_fire
