key	value
#unit_experience_thresholds_tables;0;db/unit_experience_thresholds_tables/unit_experience_thresholds	
xp1_land_casualties	3000
xp1_land_kills	70
xp1_naval_casualties	400
xp1_naval_kills	150
xp2_land_casualties	7000
xp2_land_kills	300
xp2_naval_casualties	900
xp2_naval_kills	400
xp3_land_casualties	12000
xp3_land_kills	800
xp3_naval_casualties	1700
xp3_naval_kills	1000
xp4_land_kills	1600
xp4_naval_kills	1600
xp5_land_kills	2500
xp5_naval_kills	2400
xp6_land_kills	4000
xp6_naval_kills	3200
