key	gov_type	unique_number	outcome
#units_to_gov_type_permissions_tables;0;db/units_to_gov_type_permissions_tables/units_to_gov_type_permissions			
cossack_cavalry	gov_absolute_monarchy	1	enabled
cossack_cavalry	gov_constitutional_monarchy	31	non_reinforceable
cossack_cavalry	gov_republic	32	non_reinforceable
cossack_cavalry_hetman	gov_absolute_monarchy	60	enabled
cossack_cavalry_hetman	gov_constitutional_monarchy	61	non_reinforceable
cossack_cavalry_hetman	gov_republic	62	non_reinforceable
cossack_infantry	gov_absolute_monarchy	2	enabled
cossack_infantry	gov_constitutional_monarchy	33	non_reinforceable
cossack_infantry	gov_republic	34	non_reinforceable
euro_polish_winged_hussars	gov_absolute_monarchy	3	enabled
euro_polish_winged_hussars	gov_constitutional_monarchy	4	enabled
euro_polish_winged_hussars	gov_republic	35	non_reinforceable
euro_republican_conscript_infantry	gov_absolute_monarchy	36	destroyed
euro_republican_conscript_infantry	gov_constitutional_monarchy	37	destroyed
euro_republican_conscript_infantry	gov_republic	5	enabled
euro_republican_guard	gov_absolute_monarchy	38	destroyed
euro_republican_guard	gov_constitutional_monarchy	39	destroyed
euro_republican_guard	gov_republic	6	enabled
garde_du_corps	gov_absolute_monarchy	7	enabled
garde_du_corps	gov_constitutional_monarchy	8	enabled
garde_du_corps	gov_republic	40	destroyed
gorodskiye_streltsy	gov_absolute_monarchy	11	enabled
gorodskiye_streltsy	gov_constitutional_monarchy	12	enabled
gorodskiye_streltsy	gov_republic	42	non_reinforceable
guard_infantry	gov_absolute_monarchy	13	enabled
guard_infantry	gov_constitutional_monarchy	14	enabled
guard_infantry	gov_republic	43	converted_to
household_cavalry	gov_absolute_monarchy	15	enabled
household_cavalry	gov_constitutional_monarchy	16	enabled
household_cavalry	gov_republic	44	destroyed
life_guards	gov_absolute_monarchy	19	enabled
life_guards	gov_constitutional_monarchy	20	enabled
life_guards	gov_republic	46	destroyed
maison_du_roi	gov_absolute_monarchy	23	enabled
maison_du_roi	gov_constitutional_monarchy	24	enabled
maison_du_roi	gov_republic	48	converted_to
mameluks	gov_absolute_monarchy	25	enabled
mameluks	gov_constitutional_monarchy	49	non_reinforceable
mameluks	gov_republic	50	destroyed
revolutionary_guard	gov_absolute_monarchy	53	destroyed
revolutionary_guard	gov_constitutional_monarchy	54	destroyed
revolutionary_infantry	gov_absolute_monarchy	51	destroyed
revolutionary_infantry	gov_constitutional_monarchy	52	converted_to
revolutionary_infantry	gov_republic	26	enabled
steppe_cavalry_tatars_ottoman	gov_absolute_monarchy	27	enabled
steppe_cavalry_tatars_ottoman	gov_constitutional_monarchy	55	non_reinforceable
steppe_cavalry_tatars_ottoman	gov_republic	56	destroyed
viborniye_streltsy	gov_absolute_monarchy	28	enabled
viborniye_streltsy	gov_constitutional_monarchy	29	enabled
viborniye_streltsy	gov_republic	57	non_reinforceable
voltigeur	gov_absolute_monarchy	58	destroyed
voltigeur	gov_constitutional_monarchy	59	destroyed
voltigeur	gov_republic	30	enabled
