key	sea_surface	magnitudex	magnitudey	sort_order
#wind_levels_tables;0;db/wind_levels_tables/wind_levels				
calm_westerly	wind_level_0	3.0000	0.0000	1
gale_northern	wind_level_3	0.0000	12.0000	8
light_northern	wind_level_0	0.0000	3.0000	5
light_westerly	wind_level_1	6.0000	0.0000	2
moderate_northern	wind_level_1	0.0000	6.0000	6
moderate_westerly	wind_level_2	9.0000	0.0000	0
storm_northern	wind_level_4	0.0000	16.0000	9
storm_westerly	wind_level_4	16.0000	0.0000	4
strong_northern	wind_level_2	0.0000	9.0000	7
strong_westerly	wind_level_3	12.0000	0.0000	3
